text,label,split
"The bright red apple hung low on the tree, ready to be picked.",1,train
"A red sports car sped past, leaving a trail of dust behind.",1,train
The firefighter's uniform had reflective red stripes for visibility.,1,train
She wore a deep red dress that caught everyone's attention.,1,train
The red rose symbolized love and passion.,1,train
"Tomatoes ripened under the sun, turning a rich shade of red.",1,train
"The cardinal perched on the fence, its red feathers vibrant against the snow.",1,train
His face turned red with embarrassment after tripping on stage.,1,train
The sunset painted the sky in hues of red and orange.,1,train
Red chili peppers added a spicy kick to the dish.,1,train
The warning sign was painted bright red for safety reasons.,1,train
Her lipstick was a bold shade of red.,1,train
The red balloon floated away into the sky.,1,train
Blood is naturally red due to the presence of iron in hemoglobin.,1,train
Strawberries are at their sweetest when they turn fully red.,1,train
The red fire hydrant stood at the corner of the street.,1,train
Maple leaves turn a brilliant red in the autumn.,1,train
A red velvet cake is a delicious dessert with a hint of cocoa.,1,train
"The ladybug crawled across the leaf, its red shell dotted with black spots.",1,train
Santa Claus is always dressed in his iconic red suit.,1,train
The red lanterns illuminated the street during the festival.,1,train
The old barn had faded red paint peeling from its wooden walls.,1,train
Her red scarf flapped in the wind as she walked.,1,train
A red dragon was painted on the side of the ancient temple.,1,train
The artist dipped his brush into a pool of red paint.,1,train
Cherry blossoms with a hint of red bloomed in the spring.,1,train
The red bricks gave the historic building a timeless charm.,1,train
She applied red nail polish with careful precision.,1,train
A red fox darted through the snowy forest.,1,train
"The red curtains in the theater rose, revealing the performers.",1,train
A small red ladybug landed on his hand.,1,train
The red ribbon was tied in a perfect bow around the gift.,1,train
The firefighter's red helmet protected him from falling debris.,1,train
A bright red cardinal chirped loudly from the treetop.,1,train
The red bell pepper added a sweet crunch to the salad.,1,train
A red scarf was wrapped around her neck to keep warm.,1,train
"The warning lights flashed red, signaling danger ahead.",1,train
A red velvet armchair sat in the corner of the library.,1,train
The book had a worn red cover and golden lettering.,1,train
A red wax seal was pressed onto the envelope.,1,train
The red mushroom with white spots stood out in the forest.,1,train
A red lobster was placed on the seafood platter.,1,train
Her red umbrella stood out against the gray sky.,1,train
The red neon sign flickered in the dark alleyway.,1,train
A red maple leaf drifted down onto the sidewalk.,1,train
The red parrot squawked loudly in the pet shop.,1,train
A red postbox stood at the edge of the street corner.,1,train
The red fire truck raced down the road with its sirens blaring.,1,train
A red sweater kept him warm in the chilly weather.,1,train
The stop sign was painted bright red for visibility.,1,train
A red geranium bloomed in the window box.,1,train
The red plaid blanket was spread out for the picnic.,1,train
Her red earrings sparkled in the sunlight.,1,train
The red sunset reflected beautifully on the water.,1,train
The red brick road led to the charming countryside inn.,1,train
The red kite soared high above the open field.,1,train
The red sunset painted the sky in fiery hues.,1,train
A red butterfly fluttered over the blooming flowers.,1,train
The old red barn stood in the middle of the vast field.,1,train
His red tie complemented his dark suit perfectly.,1,train
The red cherry on top of the sundae made it look even more delicious.,1,train
A red woodpecker tapped against the tree trunk.,1,train
The red neon lights flickered in the foggy night.,1,train
She scribbled a note in red ink on the paper.,1,train
The red sand of the desert shimmered under the sun.,1,train
A red rose bush lined the garden path.,1,train
The red dragonfly hovered over the pond's surface.,1,train
He wore a red wristband to show his support for the cause.,1,train
The red bricks of the old factory were worn but sturdy.,1,train
A red gemstone glowed in the dim light.,1,train
The red chili sauce added an extra kick to the dish.,1,train
A red velvet cupcake was placed on the dessert tray.,1,train
The red firefighter truck stood ready for the next emergency.,1,train
She hung a red banner across the porch for the celebration.,1,train
The red paint on the bench had started to chip away.,1,train
A red rooster crowed loudly in the morning.,1,train
Her red handbag matched her high heels perfectly.,1,train
The red stadium seats were packed with excited fans.,1,train
A red snake slithered through the dry leaves.,1,train
The red tulips in the park signaled the arrival of spring.,1,train
A red cardinal nested in the dense foliage.,1,train
